Wall time,Step,Value
1727450258.7979398,6681,1.0
1727450259.8582141,6688,1.0
1727450261.0734107,6696,1.0
1727450261.5530481,6699,1.0
1727450262.7680945,6707,1.0
1727450263.3331275,6711,1.0
1727450263.9131422,6715,1.0
1727450267.3385746,6738,1.0
1727450267.967985,6742,1.0
1727450269.0537598,6749,1.0
1727450269.6403084,6753,1.0
1727450271.303743,6764,1.0
1727450273.0937734,6776,1.0
1727450275.490716,6792,1.0
1727450279.204308,6817,1.0
1727450281.4537318,6832,1.0
1727450283.5575335,6846,1.0
1727450284.7665343,6854,1.0
1727450285.92607,6862,1.0
1727450286.9040291,6868,1.0
1727450287.074098,6869,1.0
1727450291.2814429,6895,1.0
1727450293.5348282,6909,1.0
1727450297.6172423,6934,1.0
1727450300.164717,6951,1.0
1727450302.1148396,6963,1.0
1727450302.5820096,6966,1.0
1727450303.534818,6972,1.0
1727450306.4979677,6990,1.0
1727450306.8049111,6992,1.0
1727450309.6115127,7010,1.0
1727450310.1968231,7014,1.0
1727450313.4903324,7035,1.0
1727450314.195017,7039,1.0
1727450315.3723168,7046,1.0
1727450317.4051957,7059,1.0
1727450318.3386433,7065,1.0
1727450320.4452157,7079,1.0
1727450322.232362,7091,1.0
1727450324.497955,7106,1.0
1727450325.6663718,7114,1.0
1727450325.8055954,7115,1.0
1727450329.065693,7137,1.0
1727450329.6842499,7141,1.0
1727450331.7908804,7155,1.0
1727450333.6764178,7167,1.0
1727450333.815812,7168,1.0
1727450334.9018574,7175,1.0
1727450337.0920446,7189,1.0
1727450338.0357447,7195,1.0
1727450339.0763316,7202,1.0
1727450339.3860633,7204,1.0
1727450340.7360482,7213,1.0
1727450341.0560603,7215,1.0
1727450341.2572424,7216,1.0
1727450344.1060126,7235,1.0
1727450344.5460048,7238,1.0
1727450345.9013307,7247,0.699999988079071
1727450347.8689053,7260,0.800000011920929
1727450351.457683,7284,1.0
1727450353.800571,7300,1.0
1727450355.466865,7311,1.0
1727450358.1268651,7329,1.0
1727450359.6785944,7339,1.0
1727450359.8136218,7340,1.0
1727450360.696946,7346,1.0
1727450361.727005,7353,1.0
1727450362.379957,7357,1.0
1727450362.5266798,7358,1.0
1727450362.6918702,7359,1.0
1727450365.9872339,7381,1.0
1727450366.137018,7382,1.0
1727450366.821735,7386,1.0
1727450367.1169527,7388,1.0
1727450368.4670076,7397,1.0
1727450369.1020892,7401,1.0
1727450373.4406567,7430,1.0
1727450373.587649,7431,1.0
1727450374.9499826,7440,1.0
1727450375.4121614,7443,1.0
1727450376.4575546,7450,1.0
1727450377.9571705,7460,1.0
1727450378.1123102,7461,1.0
1727450378.3975596,7463,1.0
1727450379.1076155,7468,1.0
1727450380.0249035,7474,1.0
1727450380.6074102,7478,1.0
1727450380.8974323,7480,1.0
1727450383.241452,7496,1.0
1727450384.157805,7502,1.0
1727450384.3173993,7503,1.0
1727450385.4975154,7511,1.0
1727450388.378825,7530,1.0
1727450390.9779809,7547,1.0
1727450394.8582015,7573,1.0
1727450398.3529727,7596,1.0
1727450400.2982795,7609,1.0
1727450400.7385778,7612,1.0
1727450405.38085,7643,1.0
1727450405.5687397,7644,1.0
1727450407.9191313,7660,1.0
1727450408.0584342,7661,1.0
1727450409.5783038,7671,1.0
1727450410.0321517,7674,1.0
1727450410.3284092,7676,1.0
1727450411.9683838,7687,1.0
1727450412.9316692,7693,1.0
1727450413.3747742,7696,1.0
1727450413.9527445,7700,1.0
1727450416.5925498,7718,1.0
1727450416.7341013,7719,1.0
1727450417.326393,7723,1.0
1727450417.753988,7726,1.0
1727450418.0538783,7728,1.0
1727450420.138935,7742,1.0
1727450420.7239578,7746,1.0
1727450422.4489858,7757,1.0
1727450422.9188666,7760,1.0
1727450425.9404001,7780,1.0
1727450427.1016574,7788,1.0
1727450428.5793114,7798,1.0
1727450428.7362123,7799,1.0
1727450430.4883633,7810,1.0
1727450433.9162178,7833,1.0
1727450434.6291986,7838,1.0
1727450437.249893,7855,1.0
1727450443.8302155,7899,1.0
1727450443.9650245,7900,1.0
1727450444.5917714,7904,1.0
1727450445.2197807,7908,1.0
1727450447.9447045,7926,1.0
1727450448.7961373,7932,1.0
1727450455.5239658,7975,1.0
1727450456.7664008,7983,1.0
1727450457.940361,7991,1.0
1727450458.0902598,7992,1.0
1727450460.665483,8009,1.0
1727450462.5557048,8022,1.0
1727450463.1905117,8026,1.0
1727450464.8705394,8037,1.0
1727450466.7366116,8049,1.0
1727450467.2061143,8052,1.0
1727450467.530403,8054,1.0
1727450468.1108155,8058,1.0
1727450469.2606845,8066,1.0
1727450479.3335755,8126,1.0
1727450480.3211892,8132,1.0
1727450480.48127,8133,1.0
1727450483.251387,8150,0.4000000059604645
1727450484.3311234,8157,0.9000000357627869
1727450487.886244,8180,1.0
1727450488.5632627,8184,1.0
1727450490.391834,8195,1.0
1727450490.8651402,8198,1.0
1727450493.637018,8215,1.0
1727450495.251662,8221,1.0
1727450498.717524,8234,1.0
1727450504.284366,8254,1.0
1727450506.9995854,8263,1.0
1727450511.2954686,8279,1.0
1727450511.7806392,8281,1.0
1727450514.1879802,8290,1.0
1727450516.6321924,8299,1.0
1727450518.6664205,8307,1.0
1727450524.1726875,8327,1.0
1727450524.6528745,8329,1.0
1727450525.3957868,8332,1.0
1727450525.8839011,8334,1.0
1727450527.4561949,8340,1.0
1727450530.763122,8352,1.0
1727450531.0203145,8353,1.0
1727450532.739177,8360,1.0
1727450533.4631863,8363,1.0
1727450534.7551594,8368,1.0
1727450536.55332,8375,1.0
1727450537.0605736,8377,1.0
1727450550.8102949,8428,1.0
1727450553.738563,8439,1.0
1727450554.5436997,8442,1.0
1727450555.841938,8447,1.0
1727450559.9840643,8463,1.0
1727450561.133857,8467,1.0
1727450561.3873703,8468,1.0
1727450561.944334,8470,1.0
1727450564.6966114,8480,1.0
1727450565.725439,8484,1.0
1727450566.7371724,8488,1.0
1727450569.1552393,8497,1.0
1727450569.434407,8498,1.0
1727450570.7542894,8503,1.0
1727450571.7842536,8507,1.0
1727450572.0644228,8508,1.0
1727450576.0744421,8523,1.0
1727450584.0649643,8554,1.0
1727450587.2300506,8566,1.0
1727450589.0148022,8573,1.0
1727450590.330079,8578,1.0
1727450594.0250313,8592,1.0
1727450596.2950275,8601,1.0
1727450600.2254949,8616,1.0
1727450603.1032395,8627,1.0
1727450604.9853568,8634,1.0
1727450605.2356086,8635,1.0
1727450607.605791,8644,1.0
1727450617.6775908,8682,1.0
1727450618.4362988,8685,1.0
1727450618.9259164,8687,1.0
